,No,total land-terminating margin [km],Near-vertical fraction [%],Near-vertical fraction (steep terrain) [%],Steep fraction [%],Shallow fraction [%],NA [%]
NW,147,291.2,36.37,8.09,11.82,12.86,30.87
NW,148,103.8,34.27,4.56,6.49,9.00,45.69
NW,159,25.2,43.48,0.00,2.16,23.12,31.25
NW,160,23.7,38.37,8.43,0.00,30.83,22.37
NW,161,34.2,17.51,0.00,18.01,3.81,60.66
NW,162,77.6,46.90,0.00,15.30,25.58,12.23
NW,163,57.2,0.00,0.00,5.32,24.04,70.64
NW,164,124.6,28.08,0.00,17.50,22.54,31.88
NW,165,89.4,30.71,0.00,14.74,34.35,20.20
NW,166,38.4,3.44,0.00,22.93,47.82,25.82
NW,167,133.6,37.61,0.00,6.15,49.43,6.81
NW,168,13.1,0.00,14.07,27.46,35.68,22.79
NW,169,37.5,22.60,0.00,17.08,48.14,12.19
NW,170,23.3,32.38,6.51,19.05,5.13,36.93
NW,172,161.8,37.93,1.10,16.45,40.92,3.61
NW,174,114.9,40.70,0.00,12.57,23.68,23.05
NW,175,116.5,29.67,8.42,6.13,31.60,24.19
NW,180,11.8,14.49,0.00,9.37,36.69,39.46
NW,185,127.3,40.28,3.05,12.96,20.17,23.53
NW,195,69.3,42.72,0.00,3.90,8.87,44.52
NW,196,297.6,24.56,2.93,22.97,27.09,22.44
NW,197,142.2,43.35,10.22,12.28,9.79,24.37
NW,207,21,0.00,0.00,0.00,7.99,92.01
NW,208,7.6,0.00,0.00,0.00,0.00,100.00
NW,214,68.8,17.57,1.54,7.94,39.65,33.29
NW,225,145.6,32.48,0.00,13.25,39.30,14.96
NW,238,91.4,11.18,0.00,18.23,15.72,54.87
NW,239,45.8,22.88,0.00,11.08,21.99,44.05
NW,240,111.6,27.36,6.48,8.37,10.91,46.89
TOTAL NW,,6383.6,27.66,4.24,12.02,25.01,31.07
,,,,,,,
SE,63,196.9,18.35,5.66,16.99,22.83,36.17
SE,64,28.5,12.94,0.00,1.55,63.39,22.12
SE,65,381.7,5.82,29.94,0.77,0.00,63.47
SE,67,93.5,10.65,8.22,14.73,20.87,45.53
SE,68,23,7.47,0.00,17.51,59.40,15.61
SE,73,66,17.00,20.34,0.65,0.38,61.63
SE,80,260.3,22.05,19.76,5.19,19.83,33.17
SE,83,121.8,46.59,1.29,16.37,14.37,21.38
SE,88,184.2,21.52,1.49,25.05,32.54,19.40
SE,92,146.7,37.15,29.32,13.02,8.08,12.44
SE,93,1217.3,34.16,22.50,5.45,13.38,24.51
SE,94,3279.5,26.16,43.54,1.66,2.28,26.37
SE,106,77.9,7.42,1.56,9.94,56.56,24.52
SE,107,138.2,17.69,27.80,3.45,1.34,49.73
SE,108,170.9,39.35,24.85,13.96,11.08,10.77
SE,110,220.9,4.03,10.46,0.05,7.21,78.25
SE,111,404.8,23.41,22.86,0.34,4.39,49.00
SE,113,387.1,11.89,27.12,0.00,0.99,59.99
SE,114,277.5,18.19,33.27,0.91,0.49,47.15
SE,115,353.8,17.33,28.73,6.79,4.19,42.97
SE,117,651.7,7.77,19.15,0.30,0.00,72.78
SE,118,288.8,13.41,29.23,2.57,0.04,54.76
SE,119,30.8,12.20,22.04,0.00,0.00,65.76
SE,120,466.3,16.42,18.05,8.73,5.56,51.24
