,No,total margin [km],land-terminating margin [km],marine-terminating margin [km],lake-terminating margin [km],adjacent periphery [km],fraction of total [%],land fraction [%],marine fraction [%],lake fraction [%]
SE,92,149.6,146.7 (2.2),2.4,0.4,12.7,0.2,98.06,1.6,0.27
SE,93,1226.8,1217.3 (24.3),8.2,1.3,72.1,1.61,99.23,0.67,0.11
SE,94,3286,3279.5 (61.1),6.5,0,147.7,4.31,99.8,0.2,0
SE,106,87.9,77.9 (13.3),10,0,0,0.12,88.72,11.39,0
SE,107,148.3,138.2 (30.5),10,0,9.8,0.19,93.19,6.74,0
SE,108,211.8,170.9 (15.0),36.6,4.3,22.9,0.28,80.69,17.28,2.03
SE,110,257.2,220.9 (2.6),36.3,0,13.7,0.34,85.89,14.11,0
SE,111,408.8,404.8 (24.0),4,0,45.7,0.54,99.02,0.98,0
SE,113,392.9,387.1 (87.8),4.7,0,15.4,0.52,98.52,1.48,0
SE,114,285.7,280.7 (5.2),5,0,43.9,0.37,98.25,1.75,0
SE,115,360.1,353.8 (10.3),6.3,0,20,0.47,98.25,1.75,0
SE,117,658.4,651.7 (1.0),6.7,0,42.3,0.86,98.98,1.02,0
SE,118,299.1,288.8 (4.4),4.2,6,34.9,0.39,96.56,1.4,2.01
SE,119,31,30.8 (15.1),0.2,0,17.4,0.04,99.35,0.65,0
SE,120,477.7,466.3 (88.7),8.7,2.7,29.4,0.63,97.61,1.82,0.57
SE,121,639.4,625.9 (33.1),13,0.5,47.1,0.84,97.89,2.03,0.08
SE,125,1139,1123.0 (1.2),6,10,106.9,1.5,98.6,0.53,0.88
SE,126,1149.7,1132.0 (45.5),16.8,0.8,72.6,1.51,98.46,1.46,0.07
SE,128,516.1,511.6 (8.3),4.6,0,30.1,0.68,99.13,0.89,0
SE,186,43.7,37.0 (21.3),6.4,0.3,0,0.06,84.67,14.65,0.69
SE,187,59.5,56.4 (23.2),3.2,0,0,0.08,94.79,5.38,0
SE,188,54.1,47.4 (26.6),6.3,0.4,0,0.07,87.62,11.65,0.74
SE,189,128.2,114.7 (17.4),13.5,0,0,0.17,89.47,10.53,0
SE,190,358.1,297.5 (10.0),60.6,0,0.1,0.47,83.08,16.92,0
SE,191,231.4,208.3 (6.8),20.2,2.9,13.6,0.3,90.02,8.73,1.25
SE,192,51.5,43.2 (8.2),8.3,0,0,0.07,83.88,16.12,0
SE,193,708.7,697.2 (45.2),7.8,3.7,87.1,0.93,98.38,1.1,0.52
SE,199,77,67.6 (38.9),9.4,0,3.6,0.1,87.79,12.21,0
SE,200,45,40 (24.1),5,0,11.9,0.06,88.89,11.11,0
